11-3021;Computer and Information Systems Mangers
13-1081;Logisticians
13-1111;Management Analysts
13-1151;Training and Development Specialists
15-1011;Computer and Information Scientists, Research
15-1111;Computer and Information Research Scientists
15-1021;Computer Programmers
15-1121;Computer Systems Analysts
15-1122;Information Security Analysts
15-1031;Computer Software Engineers, Applications
15-1131;Comp programmers
15-1032;Computer Software Engineers, Systems Software
15-1132;software developers, applications
15-1133;Software Developers, Systems Software
15-1134;Web Developers
15-1041;Computer Support Specialists
15-1141;Database Administrators
15-1142;Network and Computer Systems Administrators*
15-1143;Computer Network Architects
15-1150;Computer Support Specialists
15-1051;Computer Systems Analysts
15-1151;Computer User Support Specialist
15-1152;Computer Network Support Specialist
15-1061;Database Administrators
15-1071;Network and Computer Systems Administrators*
15-1081;Network Systems and Data Communications Analysts
15-1099;Computer Specialists, All Other
15-1179;Information Security Analysts, Web Developers, and Computer Network Architect
15-1799;Computer Occupations, All Other
15-2031;Operations Research Analysts
17-2061;Computer Hardware Engineers
17-2112;Industrial Engineers
17-3026;Industrial Engineering Technicians
25-1021;Computer Science Teachers, Postsecondary
27-1014;Multimedia Artists and Animators
27-1024;Graphic Designers
27-3042;Technical Writers
29-2071;Medical Records and Health Information Technicians
41-4011;Sales Representatives, Technical and Scientific Products
41-9031;Sales Engineers
43-9011;Computer Operators
43-9021;Data Entry Keyers
43-9031;Desktop Publishers
49-2011;Computer, Automated Teller, and Office Machine Repairers
51-4011;Computer-Controlled Machine Tool Operators, Metal and Plastic
51-4012;Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic
